estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.69552611,90.39864868,23.73385318,90.41438654,883cf1762dfffff,883cf17651fffff,23.6936105581644,90.39438875086208,23.737488501811153,90.41637205477298
23.7589988,90.4470549,23.7198489,90.4904231,883cf13907fffff,883cf1769dfffff,23.7587028036066,90.45127203519111,23.720361725899732,90.49190740395535
23.69473157,90.48023175,23.71270835,90.41148406,883cf176a3fffff,883cf17601fffff,23.691014228609234,90.48042777386294,23.715408468555044,90.41015926405338
23.72679628,90.3634249,23.79170765,90.38949177,883cf10d91fffff,883cf10cd1fffff,23.72409883604131,90.3676192205554,23.790322825881084,90.38624916487571
23.89619445,90.3602599,23.90372849,90.35652924,883cf105c9fffff,883cf10423fffff,23.89476989295282,90.36423464720362,23.902306371186064,90.35992895791183
23.69086008,90.4013956,23.75800801,90.38669474,883cf17621fffff,883cf10c87fffff,23.69332446324558,90.40394752918873,23.760705189009908,90.38434162607795
23.70239068,90.49279019,23.77063482,90.36961008,883cf176b9fffff,883cf10c8dfffff,23.705543163925775,90.49094817677339,23.76853540374634,90.3704776445445
23.71944494,90.48123825,23.7105282,90.4108239,883cf1768bfffff,883cf17607fffff,23.720652779550505,90.48234511131962,23.707856519272113,90.41446164400533
23.71855477,90.49114566,23.77465354,90.36542925,883cf1769dfffff,883cf10cc7fffff,23.720361725899732,90.49190740395535,23.77608124036896,90.36617387184424
23.73327225,90.35008997,23.69768499,90.50917313,883cf10dd7fffff,883cf176b3fffff,23.731930634847615,90.35375727664547,23.69769503209525,90.5048114096375
23.72018838,90.3636368,23.75081455,90.39534961,883cf10d95fffff,883cf10cb1fffff,23.716832904005763,90.36236365829487,23.75287285552909,90.39820550000373
23.71237866,90.45043275,23.69807575,90.39651896,883cf176e9fffff,883cf17629fffff,23.71425817493473,90.44840077732773,23.70087703236507,90.3996452394697
23.6968945,90.4054835,23.711897,90.408426,883cf17621fffff,883cf17601fffff,23.69332446324558,90.40394752918873,23.715408468555044,90.41015926405338
23.89164077,90.36413468,23.88889438,90.38569529,883cf105c9fffff,883cf105d5fffff,23.89476989295282,90.36423464720362,23.88667011365449,90.38766901227378
23.73027605,90.33466989,23.83686,90.37625,883cf10dc3fffff,883cf10e9bfffff,23.732494617334204,90.33464055001744,23.83501805542222,90.37954829905918
23.78387916,90.3370867,23.762492,90.343889,883cf10c19fffff,883cf10cedfffff,23.78447013061005,90.33318950214934,23.76183625547636,90.34610184166168
23.69126505,90.48646957,23.72229614,90.4091252,883cf176b5fffff,883cf17609fffff,23.690722764340446,90.48998904890135,23.722959705217495,90.40585672411808
